gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,apdedateq,atq,ceqq,cshoq,ltq,optrfrq,costat
001690,2014-12-31,2015,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2014Q4,2015Q1,2014-12-27,261894.0000,123328.0000,5826.4190,138566.0000,,A
001690,2015-03-31,2015,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q1,2015Q2,2015-03-28,261194.0000,129006.0000,5762.2780,132188.0000,,A
001690,2015-06-30,2015,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q2,2015Q3,2015-06-27,273151.0000,125677.0000,5705.4000,147474.0000,,A
001690,2015-09-30,2015,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q3,2015Q4,2015-09-26,290479.0000,119355.0000,5578.7530,171124.0000,,A
001690,2015-12-31,2016,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q4,2016Q1,2015-12-26,293284.0000,128267.0000,5544.4870,165017.0000,,A
001690,2016-03-31,2016,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q1,2016Q2,2016-03-26,305277.0000,130457.0000,5478.4460,174820.0000,,A
001690,2016-06-30,2016,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q2,2016Q3,2016-06-25,305602.0000,126541.0000,5393.1650,179061.0000,,A
001690,2016-09-30,2016,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q3,2016Q4,2016-09-24,321686.0000,128249.0000,5336.1660,193437.0000,,A
001690,2016-12-31,2017,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q4,2017Q1,2016-12-31,331141.0000,132390.0000,5255.4230,198751.0000,,A
001690,2017-03-31,2017,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q1,2017Q2,2017-04-01,334532.0000,134082.0000,5205.8150,200450.0000,,A
001690,2017-06-30,2017,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q2,2017Q3,2017-07-01,345173.0000,132425.0000,5169.7820,212748.0000,,A
001690,2017-09-30,2017,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q3,2017Q4,2017-09-30,375319.0000,134047.0000,5126.2010,241272.0000,,A
001690,2017-12-31,2018,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q4,2018Q1,2017-12-30,406794.0000,140199.0000,5081.6510,266595.0000,,A
001690,2018-03-31,2018,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q1,2018Q2,2018-03-31,367502.0000,126878.0000,4943.2820,240624.0000,,A
001690,2018-06-30,2018,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q2,2018Q3,2018-06-30,349197.0000,114949.0000,4842.9170,234248.0000,,A
001690,2018-09-30,2018,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q3,2018Q4,2018-09-29,365725.0000,107147.0000,4754.9860,258578.0000,,A
001690,2018-12-31,2019,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q4,2019Q1,2018-12-29,373719.0000,117892.0000,4729.8030,255827.0000,,A
001690,2019-03-31,2019,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q1,2019Q2,2019-03-30,341998.0000,105860.0000,4607.2840,236138.0000,,A
001690,2019-06-30,2019,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q2,2019Q3,2019-06-29,322239.0000,96456.0000,4531.3950,225783.0000,,A
001690,2019-09-30,2019,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q3,2019Q4,2019-09-28,338516.0000,90488.0000,4443.2360,248028.0000,,A
001690,2019-12-31,2020,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q4,2020Q1,2019-12-28,340618.0000,89531.0000,4384.9590,251087.0000,,A
001690,2020-03-31,2020,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q1,2020Q2,2020-03-28,320400.0000,78425.0000,4323.9870,241975.0000,,A
001690,2020-06-30,2020,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q2,2020Q3,2020-06-27,317344.0000,72282.0000,4283.9390,245062.0000,,A
001690,2020-09-30,2020,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q3,2020Q4,2020-09-26,323888.0000,65339.0000,16976.7630,258549.0000,,A
001690,2020-12-31,2021,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q4,2021Q1,2020-12-26,354054.0000,66224.0000,16823.2630,287830.0000,,A
001690,2021-03-31,2021,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2021Q1,2021Q2,2021-03-27,337158.0000,69178.0000,16686.3050,267980.0000,,A
001690,2021-06-30,2021,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2021Q2,2021Q3,2021-06-26,329840.0000,64280.0000,16556.9420,265560.0000,,A
001690,2021-09-30,2021,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2021Q3,2021Q4,2021-09-25,351002.0000,63090.0000,16426.7860,287912.0000,,A
